uf,etags_concat,content_length_total,n_registros,n_partes,data_processamento
AC,"""c7a7374d33232de9086dded287c8ddf7-24""|""5512a12cecefae5f17bc409bb24411c1-24""|""780b969368c9f125a94c72f0089d0f84-24""|""b890004c26a7cc5180db169411fb08bb-24""|""91b8fb6f7f4b6566d11a70061e7f6df0-24""",984718361,1950411,5,2026-02-26 01:12:59.679622
AL,"""9979c8ae471d0ac918c0699ef1803f91-92""|""249a42bf90a59b069ca637a02d92f4ee-92""|""5f4f135f5fdb51f344fa19c11cfbbada-92""|""d30ac7da5744a66ec3391ee32f8833ef-92""|""b3d44efe7007de5172c96f5908bc25c5-92""",3849747799,7949182,5,2026-02-26 01:18:29.932741
AM,"""9fe1d33b3688444565330235e3bffddd-121""|""cb594266dc31b1deee3475d363b6cbb8-121""|""db83777d792012a743b3e61731dd686a-121""|""540c3e4098d1da075b22649b6a37b087-121""|""f9eb2ccfd8d30fe4df6b09576fa1a716-121""",5044303144,10815858,5,2026-02-26 01:25:45.631498
AP,"""f2cd12eee648e75357ba3ce8f460580e-22""|""730cde71bcfd05eca1eb8d512ce02f5b-22""|""1de5d6c340c07e42c4c7b93a28443416-22""|""47be87e4c9d9f3b004aa3e5b46fbef48-22""|""35adefd065c83195e8fac148e0c5e5af-22""",906236223,1922079,5,2026-02-26 01:27:25.707010
BA,"""200b28639d3cd17b448bf25224a1cbaf-475""|""1d44ca6b36907caa456a174293d077e0-475""|""bba7bd6aef5fd04e7e9692bb8b030f12-475""|""eb8a24c17db1ee96ac002a15780d438d-475""|""e7722ffbf528786ed1704d35c17f578b-475""",19905522933,41033926,5,2026-02-26 02:01:15.480689
CE,"""77f154d8781ce043334742a0fbb4f8f6-320""|""41e8795558737ddfb2e9e37862d260d8-320""|""530415c6f960ba5dfbc3e40165bf947d-320""|""fe20086c1c7d9762f2f12b3636c03190-320""|""68a5bc9f5831cc9639e18ae09f9d3080-320""",13409886605,27859507,5,2026-02-26 02:22:20.343498
DF,"""59731dba1f7ef110d26c3aae13880f02-100""|""fee357a65a3fc6e765cf1cbc0ba33796-99""|""dd4b4483d29c3e6d736208d56b9b7dc7-100""|""e1232ef329311df4dc519aba444a6b63-100""|""4f83a0149f027502f04fe37f92a57015-100""",4153528574,8770719,5,2026-02-26 02:28:18.544902
ES,"""2598818ee474892e7ee5d91f016ef2d4-137""|""5c18dd2fed8d29c402672162ae4ee286-137""|""71798ecc48c765f26a3ba3c93903a3af-137""|""d2f27f8cad2a7832d2d830a1b2dece94-137""|""65fea4ce56da2c58e8681282d69f71be-137""",5709462785,11878196,5,2026-02-26 02:36:23.701304
GO,"""4fdbf9a2ccf15110f84650ba83102805-210""|""217df2d0965d90255a998f0518201a29-210""|""2f230e2567dfec607627344ed1b50da5-210""|""055dc09d32d243f21d5e00ae0c80fd8c-210""|""bce28fa82116a0bc67d53157bf5a699b-210""",8785557824,18091839,5,2026-02-26 02:48:17.161612
MA,"""3d6c766cb64e61b8c7da21d7e9f7a582-180""|""8cb05dfb22a329e9bb8b89915dd771ba-180""|""b307df2395e52dd3161b84d49b30786d-180""|""c054d7ac167971ca23e982d97b9026ae-180""|""4914e45791acc7272ff0c11d3f8cf5ab-180""",7536704148,15412382,5,2026-02-26 02:59:53.853435
