arquivo,etag_servidor,content_length,hash_md5_zip,n_registros,n_partes_json,data_processamento,ano,mes,url_origem,pipeline_version,git_commit
vacinacao_jul_2021_json.zip,"""df195a8a3fe7ab9bb070fbea8ac84853-131""",2235018229,e8a7745f8abf264da0db74e8d0ebeeec,12478744,32,2026-02-24 18:08:16.765416,2021,7,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jul_2021.json.zip,,
vacinacao_ago_2021_json.zip,"""4961e75f9fe922c7c7655d56594688b9-98""",1671531715,cf1e9d1f910359b685473bdf9458ad9f,9072619,23,2026-02-24 18:20:27.115141,2021,8,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_ago_2021.json.zip,,
vacinacao_set_2021_json.zip,"""b2316f9a322b6e1e294aa591c29bae40-84""",1436889321,52a8c1e6651be7d85529fd378fcd7c4b,7696561,20,2026-02-24 18:30:29.809607,2021,9,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_set_2021.json.zip,,
vacinacao_out_2021_json.zip,"""5a617650897e5614a6a6747b487e3484-105""",1788201675,50c64d191662ddf4976bf01ac0a8e465,9498041,24,2026-02-24 18:42:32.257097,2021,10,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_out_2021.json.zip,,
vacinacao_nov_2021_json.zip,"""11489ee8e17a247dfc6f847a41261713-99""",1688597595,264f1989c0dcd7c83ac500757ebf23cd,8905352,23,2026-02-24 18:54:27.221969,2021,11,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_nov_2021.json.zip,,
vacinacao_dez_2021_json.zip,"""52ba64f7146776345f37daf9a432c10c-98""",1676733908,4282a2306c4ce5ed281162185adc0d1a,8907004,23,2026-02-24 19:06:29.917420,2021,12,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_dez_2021.json.zip,,
vacinacao_jan_2022_json.zip,"""feef3ce65029dd0c3ebf9b3dc0189f21""",1801025144,feef3ce65029dd0c3ebf9b3dc0189f21,9747680,25,2026-02-24 19:19:15.523507,2022,1,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jan_2022.json.zip,,
vacinacao_fev_2022_json.zip,"""ccc3ba0e17ae5db75a7967abfd3537c8""",1445956973,ccc3ba0e17ae5db75a7967abfd3537c8,7656570,20,2026-02-24 19:29:24.607525,2022,2,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_fev_2022.json.zip,,
vacinacao_mar_2022_json.zip,"""6f0b906303ebac50f41deab8fb2dfbd4""",1710780532,6f0b906303ebac50f41deab8fb2dfbd4,9129406,23,2026-02-24 19:41:18.417437,2022,3,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mar_2022.json.zip,,
vacinacao_abr_2022_json.zip,"""3f6b2455c26d14e3e1e7997fd53306ef""",2144596399,3f6b2455c26d14e3e1e7997fd53306ef,11620731,30,2026-02-24 19:56:48.542229,2022,4,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_abr_2022.json.zip,,
vacinacao_mai_2022_json.zip,"""e3b34dab910c409a679d537c0a752285""",2496528982,e3b34dab910c409a679d537c0a752285,13536207,34,2026-02-24 20:14:22.759366,2022,5,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mai_2022.json.zip,,
vacinacao_jun_2022_json.zip,"""31b620d16fae2e01eec0b9e4caf6d621""",2181350733,31b620d16fae2e01eec0b9e4caf6d621,11751416,30,2026-02-24 20:32:30.267658,2022,6,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jun_2022.json.zip,,
vacinacao_jul_2022_json.zip,"""7031855796132806af635f7fb720b555""",2021547015,7031855796132806af635f7fb720b555,10926583,28,2026-02-24 20:46:40.684630,2022,7,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jul_2022.json.zip,,
vacinacao_ago_2022_json.zip,"""8e0ecbdd3dd7b9553cdeaeff8bcee476""",1411178679,8e0ecbdd3dd7b9553cdeaeff8bcee476,7563936,19,2026-02-24 20:56:31.465914,2022,8,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_ago_2022.json.zip,,
vacinacao_set_2022_json.zip,"""ddfc4a3a22de4fdaa152c8accb862413""",1976805605,ddfc4a3a22de4fdaa152c8accb862413,10457876,27,2026-02-24 21:11:12.923189,2022,9,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_set_2022.json.zip,,
vacinacao_out_2022_json.zip,"""e6f519db628a518311264b098c04d9df""",1739655967,e6f519db628a518311264b098c04d9df,9192184,23,2026-02-24 21:23:23.167742,2022,10,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_out_2022.json.zip,,
vacinacao_nov_2022_json.zip,"""c0be2adacf827cae4265962f34138fe3""",1712071609,c0be2adacf827cae4265962f34138fe3,9044815,23,2026-02-24 21:35:18.215291,2022,11,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_nov_2022.json.zip,,
vacinacao_dez_2022_json.zip,"""deadf398fda2253466cd663469d9bbae""",1342971225,deadf398fda2253466cd663469d9bbae,7141500,18,2026-02-24 21:45:03.143964,2022,12,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_dez_2022.json.zip,,
vacinacao_jan_2023_json.zip,"""4da1a81adba474c65bef8cbf26ea865a""",1318044674,4da1a81adba474c65bef8cbf26ea865a,7660016,20,2026-02-24 21:54:47.546921,2023,1,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jan_2023.json.zip,,
vacinacao_fev_2023_json.zip,"""29d7ac6fa60efc40515dd660869808d2""",1315739834,29d7ac6fa60efc40515dd660869808d2,7702332,20,2026-02-24 22:04:35.441752,2023,2,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_fev_2023.json.zip,,
vacinacao_mar_2023_json.zip,"""29d708a3fe7bbf8cc418ea946f801ccc""",1644552779,29d708a3fe7bbf8cc418ea946f801ccc,9758143,25,2026-02-24 22:17:06.143393,2023,3,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mar_2023.json.zip,,
vacinacao_abr_2023_json.zip,"""4cd1a18085350198011b23fd57f38627""",2344327319,4cd1a18085350198011b23fd57f38627,13818302,35,2026-02-24 22:34:33.043379,2023,4,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_abr_2023.json.zip,,
vacinacao_mai_2023_json.zip,"""fe995f0284388b029561251355c38e14""",3185849647,fe995f0284388b029561251355c38e14,18659314,47,2026-02-24 22:57:50.895450,2023,5,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mai_2023.json.zip,,
vacinacao_jun_2023_json.zip,"""bba46cb3cf34807d4a1f65d2d267bfcb""",2255040572,bba46cb3cf34807d4a1f65d2d267bfcb,13042676,33,2026-02-24 23:14:17.961310,2023,6,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jun_2023.json.zip,,
vacinacao_jul_2023_json.zip,"""bd31ad554d500837ea9e2f585349ad5a""",2004621118,bd31ad554d500837ea9e2f585349ad5a,11605736,30,2026-02-24 23:30:02.634756,2023,7,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jul_2023.json.zip,,
