cube_year,built_at,builder_version,builder_git_commit,healthbr_version,ufs_arquivo,partitions,window_complete,records_read,records_in_cube,manifest_last_updated,run_url,reason
1992,2026-09-07T22:20:55Z,2.6.0,73dccbaea4aa368b797bcd301a8fe98591492a4f,0.4.0.9000,27,432,true,20691219,15659152,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
1993,2026-09-07T22:29:51Z,2.6.0,73dccbaea4aa368b797bcd301a8fe98591492a4f,0.4.0.9000,27,431,false,20767993,15928464,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
1994,2026-09-07T22:42:21Z,2.6.0,73dccbaea4aa368b797bcd301a8fe98591492a4f,0.4.0.9000,27,431,false,20052622,15203184,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
1995,2026-09-07T22:51:28Z,2.6.0,73dccbaea4aa368b797bcd301a8fe98591492a4f,0.4.0.9000,27,425,false,17467322,13258648,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
1996,2026-09-07T23:02:29Z,2.6.0,d988dc6cf4f3b6e1388ac225fbd432d12c01cbd7,0.4.0.9000,27,431,false,16608471,12545174,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
1997,2026-09-07T23:11:25Z,2.6.0,d988dc6cf4f3b6e1388ac225fbd432d12c01cbd7,0.4.0.9000,27,428,false,16420441,12420228,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
1998,2026-09-08T05:27:05Z,2.6.0,97e6ce9dbe0236be93244fb80294d533e39d3c6d,0.4.0.9000,27,432,true,16308964,12267804,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
1999,2026-09-08T05:34:27Z,2.6.0,97e6ce9dbe0236be93244fb80294d533e39d3c6d,0.4.0.9000,27,427,false,16643160,12427470,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2000,2026-09-08T05:07:04Z,2.6.0,cb6c4349768f5f2b595cd85a131fce3b3d3bb8f8,0.4.0.9000,27,427,false,16489769,12493736,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2001,2026-09-08T05:17:26Z,2.6.0,cb6c4349768f5f2b595cd85a131fce3b3d3bb8f8,0.4.0.9000,27,432,true,16286730,12326426,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2002,2026-09-08T04:45:52Z,2.6.0,cfee679548df8185bedd30c7b6657deb1c7da5f9,0.4.0.9000,27,432,true,16262975,11987201,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2003,2026-09-08T04:53:54Z,2.6.0,cfee679548df8185bedd30c7b6657deb1c7da5f9,0.4.0.9000,27,432,true,16058986,12104159,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2004,2026-09-08T04:25:19Z,2.6.0,d9c341ff003cfe066baf3fe323c52693083df4a9,0.4.0.9000,27,432,true,15824900,11676502,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2005,2026-09-08T04:35:03Z,2.6.0,d9c341ff003cfe066baf3fe323c52693083df4a9,0.4.0.9000,27,432,true,15674505,11487429,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2006,2026-09-08T04:04:21Z,2.6.0,eb15af6826291bd5f2168f655788ac5313ae1f5d,0.4.0.9000,27,432,true,15577551,11764406,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2007,2026-09-08T04:12:46Z,2.6.0,eb15af6826291bd5f2168f655788ac5313ae1f5d,0.4.0.9000,27,431,false,15116803,11260764,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2008,2026-09-08T03:37:32Z,2.6.0,156621dfa2a1a7ed194474989daf47feb7394f12,0.4.0.9000,27,432,true,14782420,11286218,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2009,2026-09-08T03:51:33Z,2.6.0,156621dfa2a1a7ed194474989daf47feb7394f12,0.4.0.9000,27,432,true,15374131,11337490,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2010,2026-09-08T03:07:34Z,2.6.0,7d8de00d14be3d207aaf689c3beaa62c6122820f,0.4.0.9000,27,432,true,15589068,11559361,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2011,2026-09-08T03:21:32Z,2.6.0,7d8de00d14be3d207aaf689c3beaa62c6122820f,0.4.0.9000,27,432,true,15433900,11462401,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2012,2026-09-08T02:39:47Z,2.6.0,39a2a3ca08d6e2bdf1d832c398057edf4e15eaeb,0.4.0.9000,27,432,true,15175874,11286700,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2013,2026-09-08T02:51:34Z,2.6.0,39a2a3ca08d6e2bdf1d832c398057edf4e15eaeb,0.4.0.9000,27,432,true,15280715,11350351,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2014,2026-09-08T02:13:31Z,2.6.0,8e7b12323dcffd192ecbd55cc679c6911af5a33a,0.4.0.9000,27,432,true,15431775,11502252,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2015,2026-09-08T02:25:44Z,2.6.0,8e7b12323dcffd192ecbd55cc679c6911af5a33a,0.4.0.9000,27,432,true,15450315,11450030,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2016,2026-09-08T01:45:40Z,2.6.0,4d81263a958e50a151646062a5e32e3745c68238,0.4.0.9000,27,432,true,15265985,11367393,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2017,2026-09-08T01:59:54Z,2.6.0,4d81263a958e50a151646062a5e32e3745c68238,0.4.0.9000,27,432,true,15606690,11627877,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2018,2026-09-08T01:13:54Z,2.6.0,ddcb518361f330aa35168054396aead21a9fd42e,0.4.0.9000,27,432,true,16001606,11953006,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2019,2026-09-08T01:30:06Z,2.6.0,ddcb518361f330aa35168054396aead21a9fd42e,0.4.0.9000,27,432,true,16111537,12287939,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
2020,2026-09-08T00:43:07Z,2.6.0,11d447d5a92a5a7e1e85be6300c3a318f3d76c5e,0.4.0.9000,27,432,true,14412815,10615141,2026-08-18T12:33:31,,carga inicial: sidecar publicado no canal antes da migração do produtor (sih-br-mcp rebuild-cubes.yml)
