arquivo,ano,mes,uf,n_registros,n_colunas_fonte,n_colunas_parquet,hash_md5,tamanho_bytes,data_processamento,pipeline_version,git_commit
RDAC0801.dbc,2008,01,AC,2087,86,86,a200845460f3a9df23fc2bca6f0d6ce3,114153,2026-03-08 16:37:17.925143,NA,NA
RDAL0801.dbc,2008,01,AL,12168,86,86,040c184220e23785f834e551eec6e667,649292,2026-03-08 16:37:22.40444,NA,NA
RDAM0801.dbc,2008,01,AM,9325,86,86,5f1491de5c51f6de391bfe8054595299,507103,2026-03-08 16:37:26.727796,NA,NA
RDAP0801.dbc,2008,01,AP,2386,86,86,33492b2969c3313e70216245b687efd4,138343,2026-03-08 16:37:30.762166,NA,NA
RDBA0801.dbc,2008,01,BA,41659,86,86,935689f92959fd674d591e3bfea6b5ae,2442824,2026-03-08 16:37:38.280377,NA,NA
RDCE0801.dbc,2008,01,CE,29823,86,86,741fc16b9475229a4d53d230fb7383ac,1717859,2026-03-08 16:37:44.336143,NA,NA
RDDF0801.dbc,2008,01,DF,7754,86,86,394c4fd8ffcfc5ab9ed44706e1ebb52a,463062,2026-03-08 16:37:48.896215,NA,NA
RDES0801.dbc,2008,01,ES,9502,86,86,0090ccbefeb0f4e871ce0c1ea59d8d9d,599540,2026-03-08 16:37:53.146628,NA,NA
RDGO0801.dbc,2008,01,GO,26465,86,86,0ac3b1749dd6ba42ed9608a69cd03bf9,1565822,2026-03-08 16:37:59.274214,NA,NA
RDMA0801.dbc,2008,01,MA,21417,86,86,2a99df2279651e5f6b3649add9b60b75,1064563,2026-03-08 16:38:04.364521,NA,NA
RDMG0801.dbc,2008,01,MG,67509,86,86,b02858e3a26f714345492b36c30063a4,4357193,2026-03-08 16:38:14.48512,NA,NA
RDMS0801.dbc,2008,01,MS,9636,86,86,293f99fc31e82a6f2d2e2d85d4f7b6aa,618944,2026-03-08 16:38:19.120964,NA,NA
RDMT0801.dbc,2008,01,MT,9975,86,86,37c0303ce23d0663dbdebb637cff813a,623545,2026-03-08 16:38:23.60551,NA,NA
