arquivo,ano,uf,n_registros,n_colunas_fonte,n_colunas_parquet,hash_md5,tamanho_bytes,data_processamento
DNRAC1994.dbc,1994,AC,12127,27,27,7ae53d2fa0a9d327a478f4d566f233a4,213939,2026-03-07 23:04:55.529382
DNRAL1994.dbc,1994,AL,51985,27,27,c4284c03b052a53cadfd7ea9b79401e6,874682,2026-03-07 23:05:01.137963
DNRAM1994.dbc,1994,AM,47780,27,27,f9f79feb75c56b013257e624fa8be9b5,851733,2026-03-07 23:05:06.537934
DNRAP1994.dbc,1994,AP,10859,27,27,a7f4c6f8f74be7dda66d0f3bb9e3df09,169179,2026-03-07 23:05:10.262298
DNRBA1994.dbc,1994,BA,141343,27,27,bdd76c9c5acbb844f6b15cbc27ebd790,2533591,2026-03-07 23:05:18.36637
DNRCE1994.dbc,1994,CE,87021,27,27,dc356a97c7f9dfaac3ea361c844ffd40,1495562,2026-03-07 23:05:24.774095
DNRDF1994.dbc,1994,DF,43138,27,27,f405fa44fa594e4a9c0c766a5ce8d4c1,745685,2026-03-07 23:05:29.692075
DNRES1994.dbc,1994,ES,54194,27,27,40cccca317452371f22eeff40fb21a55,962734,2026-03-07 23:05:34.817918
DNRGO1994.dbc,1994,GO,63583,27,27,86c8a8af274d70262d9cde2576511335,1261513,2026-03-07 23:05:40.752175
DNRMA1994.dbc,1994,MA,58518,27,27,cfadb94365f61c678ea321a7b69583a7,997383,2026-03-07 23:05:47.386567
DNRMG1994.dbc,1994,MG,62144,27,27,9bd42e49ce84702387cfd918c2384bcf,1179124,2026-03-07 23:05:52.793591
DNRMS1994.dbc,1994,MS,45213,27,27,5aadd0b38fb989ae6fc01cc9f1528c73,803922,2026-03-07 23:05:58.018038
DNRMT1994.dbc,1994,MT,35736,27,27,9c72ecc3033dc1d8ff26acff3c6b097e,652272,2026-03-07 23:06:02.707554
DNRPA1994.dbc,1994,PA,92213,27,27,9f5df543ff72bf0bf8e062d983b8dfc7,1551008,2026-03-07 23:06:08.842435
DNRPB1994.dbc,1994,PB,35026,27,27,ca263c82c7f85ae1fdcc6416b224fbef,599658,2026-03-07 23:06:13.373812
DNRPE1994.dbc,1994,PE,143738,27,27,140d5e6032ca24fd2760f8dd69ab92b2,2482297,2026-03-07 23:06:21.282913
