arquivo,ano,uf,n_registros,n_colunas,hash_md5,tamanho_bytes,data_processamento
CPNIAC94.DBF,1994,AC,176,9,58c3114195683b5084ac853df4526309,8067,2026-02-27 17:21:49.351604
CPNIAM94.DBF,1994,AM,496,9,981d0f2b7d4386b8d595ce441fe6eb78,22147,2026-02-27 17:21:55.122855
CPNIBA94.DBF,1994,BA,3264,9,34d5018236bd3801a7f81223bb177b7f,143939,2026-02-27 17:22:01.777509
CPNICE94.DBF,1994,CE,1472,9,439b66195004ea9da0a5217d36603a41,65091,2026-02-27 17:22:04.893382
CPNIES94.DBF,1994,ES,568,9,64a0210869e5aca845bacaf1b1951606,25315,2026-02-27 17:22:10.424841
CPNIGO94.DBF,1994,GO,1856,9,e2ba56256b38425da2ac4098d47a880d,81987,2026-02-27 17:22:13.939393
CPNIMA94.DBF,1994,MA,1088,9,def6d3582013875d628aed1eecd294c0,48195,2026-02-27 17:22:17.387455
CPNIMT94.DBF,1994,MT,936,9,49d7be86e06b41adabfce289bf8b0a9d,41507,2026-02-27 17:22:25.280487
CPNIPA94.DBF,1994,PA,1024,9,0d14759eaecec3a188517bc5bbec86b7,45379,2026-02-27 17:22:28.247977
CPNIPE94.DBF,1994,PE,1416,9,d0e9ce02a02ed66dc0f0310257ce119a,62627,2026-02-27 17:22:34.504438
CPNIPI94.DBF,1994,PI,1184,9,51fe741f4077cadac75627893df233dd,52419,2026-02-27 17:22:37.483717
CPNIRN94.DBF,1994,RN,1216,9,1b5eef0a750f3c627406f31ae99bc8ba,53827,2026-02-27 17:22:46.005246
CPNIRO94.DBF,1994,RO,320,9,b90ea99eb264af1eb52ab9bae018a2e6,14403,2026-02-27 17:22:48.629856
CPNIRR94.DBF,1994,RR,64,9,c10ccfa9ce45a042db904817435e7762,3139,2026-02-27 17:22:51.30769
CPNISC94.DBF,1994,SC,2080,9,af7b82daf5f31c1811e03bcacf1d729c,91843,2026-02-27 17:22:56.689111
CPNIAC95.DBF,1995,AC,198,9,40fb0df0b96233d0101977be7e0b8fb6,9035,2026-02-27 17:23:08.3552
CPNIAL95.DBF,1995,AL,900,9,c18e4fad864f5e9504b31a4a1aafac86,39923,2026-02-27 17:23:11.276302
CPNIAM95.DBF,1995,AM,558,9,99f7d68b7c3a6ffd4260d6ca7270fd73,24875,2026-02-27 17:23:14.294771
CPNIAP95.DBF,1995,AP,135,9,4f86af8b623b7b1630af068e75530236,6263,2026-02-27 17:23:17.282429
CPNIBA95.DBF,1995,BA,3739,9,2e0856d30301cbf8ae201698c5045994,164839,2026-02-27 17:23:20.907003
CPNICE95.DBF,1995,CE,1656,9,4a92833b303a56f3c2122d48aa9c80ad,73187,2026-02-27 17:23:23.933632
CPNIDF95.DBF,1995,DF,9,9,fd146903b1ab361dd4460018268ed33f,719,2026-02-27 17:23:26.321775
CPNIES95.DBF,1995,ES,639,9,c5b68940cf0e458d7ba3cb28e7094ca3,28439,2026-02-27 17:23:29.076224
CPNIGO95.DBF,1995,GO,2088,9,9c49a5853bfd308bf2c61c95c0063793,92195,2026-02-27 17:23:32.321022
CPNIMA95.DBF,1995,MA,1224,9,3e51e83b63c37b39e41b01d20e8af65a,54179,2026-02-27 17:23:35.143046
CPNIMT95.DBF,1995,MT,1053,9,9c65e6c2019748d78a4890546e8b9faa,46655,2026-02-27 17:23:43.034107
CPNIPA95.DBF,1995,PA,1170,9,7fd10f48147d2ab128e86c47538b9fa2,51803,2026-02-27 17:23:46.076496
CPNIPB95.DBF,1995,PB,1539,9,44c8ec35bc0fd8b362f6b071d88c4db9,68039,2026-02-27 17:23:49.515227
CPNIPE95.DBF,1995,PE,1593,9,d6a95330020d8086cdf4256a076bc2db,70415,2026-02-27 17:23:52.59561
CPNIPI95.DBF,1995,PI,1332,9,eeb10930c1dad745a06dd40b9cc46fa6,58931,2026-02-27 17:23:55.799794
CPNIPR95.DBF,1995,PR,3339,9,bcfa3ab63275192c3ece7d43132fe720,147239,2026-02-27 17:23:59.213349
CPNIRJ95.DBF,1995,RJ,729,9,12e9b6a2915b8ede5b823bce11e85e77,32399,2026-02-27 17:24:02.095738
CPNIRN95.DBF,1995,RN,1368,9,8a98510901ce0330b2b46979040c801d,60515,2026-02-27 17:24:04.943611
CPNIRO95.DBF,1995,RO,432,9,1e4480d07761ecd7010ca12c8a6c1f1f,19331,2026-02-27 17:24:07.761489
CPNIRR95.DBF,1995,RR,135,9,b0f46b3a585580ef4cddb70b2e1d1016,6263,2026-02-27 17:24:10.383039
CPNIRS95.DBF,1995,RS,3843,9,ff532b74c3d6c9b5601ca26aa64cebd5,169415,2026-02-27 17:24:13.530647
CPNISC95.DBF,1995,SC,2340,9,b0ad4f06cd3195313c63ca430f6fc6f1,103283,2026-02-27 17:24:16.752583
CPNISE95.DBF,1995,SE,675,9,f029f7b9c9442b49b9de8b425a3cbfea,30023,2026-02-27 17:24:19.513315
CPNISP95.DBF,1995,SP,5616,9,081d6a8f8729cd0db8648a49cc420ed7,247427,2026-02-27 17:24:22.860824
CPNIAC96.DBF,1996,AC,198,9,76883e6a4dbd5680d578f305a287099f,9035,2026-02-27 17:24:29.554403
CPNIAL96.DBF,1996,AL,900,9,e5a408d762c4baff5eb9715cc2b0c794,39923,2026-02-27 17:24:32.463013
CPNIAM96.DBF,1996,AM,558,9,b2c2a7cdb74d97e0b0d991cc17738db8,24875,2026-02-27 17:24:35.538536
CPNIAP96.DBF,1996,AP,144,9,c2a50a00f2803224a2200e741df08100,6659,2026-02-27 17:24:38.123597
CPNIBA96.DBF,1996,BA,3744,9,7f4e04fa299dfa79462396820bb3112c,165059,2026-02-27 17:24:41.310477
CPNICE96.DBF,1996,CE,1656,9,411e63b16c39100e1d79ed56846176fa,73187,2026-02-27 17:24:44.37354
CPNIDF96.DBF,1996,DF,9,9,a30b990ed96e7a27b956bac652d89c3f,719,2026-02-27 17:24:47.241932
CPNIES96.DBF,1996,ES,693,9,e428c35579e802fac56873ffe5905c05,30815,2026-02-27 17:24:49.959915
CPNIGO96.DBF,1996,GO,2178,9,9d4b313e3db78682a86e3847f3c6db10,96155,2026-02-27 17:24:53.032176
CPNIMA96.DBF,1996,MA,1224,9,ff9460cb8efa8dac6df6534b7f48dada,54179,2026-02-27 17:24:55.980168
CPNIMS96.DBF,1996,MS,693,9,491527072ec858212bc41a3245940b49,30815,2026-02-27 17:25:01.162759
CPNIMT96.DBF,1996,MT,1134,9,48eddd2739a93b11bcf4db3ca30c00b4,50219,2026-02-27 17:25:04.245073
