arquivo,ano,uf,n_registros,n_colunas,hash_md5,tamanho_bytes,data_processamento
DPNIAC94.DBF,1994,AC,1639,7,3da97a68245e384ffb3697aade374141,44511,2026-02-26 21:22:33.469481
DPNIAM94.DBF,1994,AM,9500,7,64a6e377af725b45093371010a080746,256758,2026-02-26 21:22:39.805973
DPNIBA94.DBF,1994,BA,46607,7,a43ae5b64c9403c9164e83101ae50aba,1258647,2026-02-26 21:22:47.149295
DPNICE94.DBF,1994,CE,29127,7,f3251d7404d6ca92f6f4fb67a2ae7a67,786687,2026-02-26 21:22:51.154689
DPNIES94.DBF,1994,ES,13110,7,b5f28a17f6d8c50bc2cc88827f31dc64,354228,2026-02-26 21:22:57.668278
DPNIGO94.DBF,1994,GO,30326,7,29a5c02908f2aea8e205ac27ad59c567,819060,2026-02-26 21:23:01.744233
DPNIMA94.DBF,1994,MA,16856,7,cc7024e2a1b856779351f65c9f23dbea,455370,2026-02-26 21:23:05.293506
DPNIMT94.DBF,1994,MT,15947,7,55d34a439f18ed7f36e1b355131c0eca,430827,2026-02-26 21:23:14.456108
DPNIPA94.DBF,1994,PA,18105,7,9e4378edba5b4ff23bfe3d9a09d4e8a5,489093,2026-02-26 21:23:18.10921
DPNIPE94.DBF,1994,PE,27739,7,de793e3adc7564706ef289488c08da00,749211,2026-02-26 21:23:24.596849
DPNIPI94.DBF,1994,PI,18680,7,79e05a8b49d97ff5a17658491f85851b,504618,2026-02-26 21:23:28.353208
DPNIRN94.DBF,1994,RN,18894,7,d137cc2587e5aff7ba1a2ae1d1247d2f,510396,2026-02-26 21:23:37.342881
DPNIRO94.DBF,1994,RO,6015,7,4fd0a71ca55e0d11d266a6add8e9d51f,162663,2026-02-26 21:23:40.482368
DPNIRR94.DBF,1994,RR,1332,7,d2f1eabb1ec90ab2143d282855f487e7,36222,2026-02-26 21:23:43.430889
DPNISC94.DBF,1994,SC,44046,7,fa41da43b2671056e257a82fb5e86130,1189500,2026-02-26 21:23:50.692047
DPNIAC95.DBF,1995,AC,2902,7,a80aa7aaf7f0ee702b93a062be14ef8b,78612,2026-02-26 21:24:04.83787
DPNIAL95.DBF,1995,AL,13079,7,51a3780a7bbfe3b5398410e82223f453,353391,2026-02-26 21:24:08.729433
DPNIAM95.DBF,1995,AM,9920,7,13b2aecf60c74997baa130d15b107a23,268098,2026-02-26 21:24:12.334852
DPNIAP95.DBF,1995,AP,2050,7,a57b0fd865b4bb6e3642c6661b7f30cf,55608,2026-02-26 21:24:15.474756
DPNIBA95.DBF,1995,BA,51645,7,e4226d840dab2592e0dbc5f4361e8666,1394673,2026-02-26 21:24:20.542907
DPNICE95.DBF,1995,CE,27515,7,a43dea9b130bc30269fe71a7e8b0a70a,743163,2026-02-26 21:24:24.703351
DPNIDF95.DBF,1995,DF,58,7,20f3b051f49d93c03e12271c3311c17c,1824,2026-02-26 21:24:27.320849
DPNIES95.DBF,1995,ES,13831,7,a4facb000fc0c87f83f92c6c7763d8be,373695,2026-02-26 21:24:31.332795
DPNIGO95.DBF,1995,GO,36553,7,d97c3331b9a184e2bf317697fc1c95ac,987189,2026-02-26 21:24:35.642514
DPNIMA95.DBF,1995,MA,18220,7,aa8a6cf6ca3e9e4b15a011b194472b47,492198,2026-02-26 21:24:39.872471
DPNIMT95.DBF,1995,MT,17298,7,3a51ecb019f51a3b6e381ffb8e50f310,467304,2026-02-26 21:24:48.180084
DPNIPA95.DBF,1995,PA,24226,7,9b5892c3757b665f96ae9635e003e7cd,654360,2026-02-26 21:24:52.251882
DPNIPB95.DBF,1995,PB,20602,7,6edef9eb4056c051ec6b5e85382384ff,556512,2026-02-26 21:24:56.535157
DPNIPE95.DBF,1995,PE,31049,7,67275833ffb2126c902990f8411ccca3,838581,2026-02-26 21:25:00.489573
DPNIPI95.DBF,1995,PI,18804,7,d7e0e554f226dbf90dff4dfe14672570,507966,2026-02-26 21:25:04.164215
DPNIPR95.DBF,1995,PR,55920,7,3d4b13baf4c492d57a99559f11d2279a,1510098,2026-02-26 21:25:09.157031
DPNIRJ95.DBF,1995,RJ,14506,7,17cf3d607061ac5010e7b3b6ca056dff,391920,2026-02-26 21:25:12.805069
DPNIRN95.DBF,1995,RN,19604,7,814b679ec4720e3b713bc313ac1a3f2d,529566,2026-02-26 21:25:16.700541
DPNIRO95.DBF,1995,RO,6691,7,a5fc79a2fd56916b0227432468c7f66b,180915,2026-02-26 21:25:19.989352
DPNIRR95.DBF,1995,RR,1428,7,d392ab69365a905e1d7d2ac6298bd5a3,38814,2026-02-26 21:25:23.039852
DPNIRS95.DBF,1995,RS,47887,7,a4898cb991cc9f9d9f7b732c23eb46a6,1293207,2026-02-26 21:25:27.828109
DPNISC95.DBF,1995,SC,44196,7,37cc2615b362a50536514f75354c883a,1193550,2026-02-26 21:25:32.694529
DPNISE95.DBF,1995,SE,9935,7,cbda2483d84403db1630b77d9c1404ac,268503,2026-02-26 21:25:36.197574
DPNISP95.DBF,1995,SP,40560,7,4edf1b0a01f1f28f93e65119f6697b60,1095378,2026-02-26 21:25:40.781241
DPNIAC96.DBF,1996,AC,3393,7,68dcc86827c5b9cdcc138979bb8739f5,91869,2026-02-26 21:25:51.218814
DPNIAL96.DBF,1996,AL,15001,7,a68dbbf4abe95028ff0eed1ba35c5136,405285,2026-02-26 21:25:55.173695
DPNIAM96.DBF,1996,AM,11843,7,57168bd3cf0e0a7997b0c3ab3ba9c375,320019,2026-02-26 21:25:58.659786
DPNIAP96.DBF,1996,AP,2167,7,d9bb1550beecdba8950a3bbff92ebf2f,58767,2026-02-26 21:26:01.523664
DPNIBA96.DBF,1996,BA,56190,7,2432615da9286b296e328a5f15c959ff,1517388,2026-02-26 21:26:06.687055
DPNICE96.DBF,1996,CE,29200,7,7a0f9b8111ed02f1ee674b087947c000,788658,2026-02-26 21:26:11.165746
DPNIDF96.DBF,1996,DF,214,7,91e29de68685545810a6b6023885b8de,6036,2026-02-26 21:26:14.103762
DPNIES96.DBF,1996,ES,13046,7,f5281db3714070e3048bae7b9960ba7d,352500,2026-02-26 21:26:17.604137
DPNIGO96.DBF,1996,GO,37243,7,20197e4fe98a1d33733be1494ac873fb,1005819,2026-02-26 21:26:21.865885
DPNIMA96.DBF,1996,MA,20372,7,de8651cc2b42afdc7135dc9dec502919,550302,2026-02-26 21:26:26.161279
DPNIMS96.DBF,1996,MS,11265,7,f7408a2d375a8e7db47503a0a2dc13dd,304413,2026-02-26 21:26:32.082025
DPNIMT96.DBF,1996,MT,17785,7,91423470c8974c308ac6b0ba5800836e,480453,2026-02-26 21:26:35.727034
DPNIPA96.DBF,1996,PA,24560,7,06ef9d776bc000d6800d3433fae276c1,663378,2026-02-26 21:26:40.034681
DPNIPB96.DBF,1996,PB,21421,7,61104199a6abf090ac04006959606823,578625,2026-02-26 21:26:44.266085
DPNIPE96.DBF,1996,PE,30976,7,1b7db80116cbe81c132f8c1183ed8b47,836610,2026-02-26 21:26:48.806799
DPNIPI96.DBF,1996,PI,21137,7,4cd94e6662f9814f3dd13ba358018dcc,570957,2026-02-26 21:26:52.493232
DPNIPR96.DBF,1996,PR,61678,7,0d5b21b7cea7ffc2491be5d3304806a5,1665564,2026-02-26 21:26:57.645922
DPNIRJ96.DBF,1996,RJ,14864,7,8124178c4d35d5c4022d087a976bf79b,401586,2026-02-26 21:27:01.408368
DPNIRN96.DBF,1996,RN,23146,7,b04034bd115fc9e6dd08f9e337398767,625200,2026-02-26 21:27:05.673136
DPNIRO96.DBF,1996,RO,8454,7,6d28ecbd9d90431f7f1a2a2d6737903e,228516,2026-02-26 21:27:09.012167
DPNIRR96.DBF,1996,RR,1400,7,0a565281706164179236f00179281175,38058,2026-02-26 21:27:12.043682
DPNIRS96.DBF,1996,RS,76995,7,bbe63813e7d936b2eb722dba55184ca1,2079123,2026-02-26 21:27:17.906897
DPNISC96.DBF,1996,SC,46849,7,32fa479ddc8a03e46445660c2c184565,1265181,2026-02-26 21:27:22.659406
DPNISE96.DBF,1996,SE,13399,7,d14631753b54d9d59c67449cce2061e7,362031,2026-02-26 21:27:26.189127
DPNISP96.DBF,1996,SP,40560,7,c83d3124e6cc71c9026ef1cf0fbfab55,1095378,2026-02-26 21:27:30.634224
DPNITO96.DBF,1996,TO,19402,7,1c403cc794102bb693ddfdf16eebe98c,524112,2026-02-26 21:27:34.505217
DPNIAC97.DBF,1997,AC,3613,7,c413db145af35c10cb7be5b1e58317ff,97809,2026-02-26 21:27:42.270075
DPNIAL97.DBF,1997,AL,14444,7,a0792b4c933d2b4e92355b63a7c20da7,390246,2026-02-26 21:27:45.821937
DPNIAM97.DBF,1997,AM,13160,7,f02c69f229032a6a9f589ebe79a287d3,355578,2026-02-26 21:27:49.56008
DPNIAP97.DBF,1997,AP,2445,7,841eba0a898ae76b149a866d1049e97b,66273,2026-02-26 21:27:52.744689
DPNIBA97.DBF,1997,BA,71926,7,813a0cd96596b4c3e93850968be390ed,1942260,2026-02-26 21:27:58.090318
DPNICE97.DBF,1997,CE,31574,7,76943ad8213e4cdb6633ee2d0a7fc407,852756,2026-02-26 21:28:02.295005
DPNIDF97.DBF,1997,DF,280,7,0556cb9fd513fc161e3ecbe28669a37c,7818,2026-02-26 21:28:04.94223
DPNIES97.DBF,1997,ES,12562,7,c974578f6197f16c823ed88a991fd790,339432,2026-02-26 21:28:08.559282
